"ENSEMBL","ENTREZID","SYMBOL","GENENAME","logFC","logCPM","F","PValue","FDR"
"ENSG00000163202","84648","LCE3D","late cornified envelope 3D",-9.64445092837131,3.26013693436956,303.823070239895,5.40408180706097e-09,5.63427031343571e-05
"ENSG00000149968","4314","MMP3","matrix metallopeptidase 3",-8.54285634999035,7.4604582181139,711.407591383609,8.76829070145525e-09,5.63427031343571e-05
"ENSG00000189221","4128","MAOA","monoamine oxidase A",8.23244193767622,2.65913818582128,255.485602104344,1.03526016486167e-08,5.63427031343571e-05
"ENSG00000133169","55859","BEX1","brain expressed X-linked 1",-4.85642990208518,6.65073088905012,612.778086579321,1.52040866214041e-08,5.63427031343571e-05
"ENSG00000197632","5055","SERPINB2","serpin family B member 2",-5.39704977861463,10.5622572176344,611.297892843953,1.53355207224706e-08,5.63427031343571e-05
"ENSG00000277586","4747","NEFL","neurofilament light chain",-7.11122191701536,3.5741851433339,482.038454822072,3.31825097579576e-08,9.24823252739841e-05
"ENSG00000166763",NA,NA,NA,8.28779965388541,2.19387239316553,174.030254354334,3.96611047734672e-08,9.24823252739841e-05
"ENSG00000184156","3786","KCNQ3","potassium voltage-gated channel subfamily Q member 3",-7.524894816875,3.59352095181047,386.375674597778,5.18127622586431e-08,9.24823252739841e-05
"ENSG00000251405",NA,NA,NA,5.97359391607687,0.844333173381156,228.248326755979,5.24877897844719e-08,9.24823252739841e-05
"ENSG00000185420","64754","SMYD3","SET and MYND domain containing 3",-3.07786752503108,6.40556199072814,435.055709022829,5.49420519298369e-08,9.24823252739841e-05
"ENSG00000124762","1026","CDKN1A","cyclin dependent kinase inhibitor 1A",-3.01576771186866,10.972235923085,421.309349578264,6.19555233710836e-08,9.24823252739841e-05
"ENSG00000167513","81620","CDT1","chromatin licensing and DNA replication factor 1",4.51002842109741,3.83391839828573,412.528346488811,6.73581861059976e-08,9.24823252739841e-05
"ENSG00000065150","3843","IPO5","importin 5",2.83813531109998,7.59609593166682,383.47798414045,8.80716995869492e-08,9.24823252739841e-05
"ENSG00000143387","1513","CTSK","cathepsin K",-3.18203573931966,6.71111007536041,383.233131190573,8.82828569277075e-08,9.24823252739841e-05
"ENSG00000017427","3479","IGF1","insulin like growth factor 1",-5.4022044058122,0.129149620571022,165.768719739623,8.96477787275293e-08,9.24823252739841e-05
"ENSG00000117594","3290","HSD11B1","hydroxysteroid 11-beta dehydrogenase 1",-3.67622338320206,5.51364778701709,380.740587544467,9.04986418303619e-08,9.24823252739841e-05
"ENSG00000138061","1545","CYP1B1","cytochrome P450 family 1 subfamily B member 1",-2.68830580677022,8.23917050817822,380.188830949807,9.09514681071297e-08,9.24823252739841e-05
"ENSG00000162494","126755","LRRC38","leucine rich repeat containing 38",5.42803406361788,3.26531374742096,377.632971323319,9.80591382044854e-08,9.24823252739841e-05
"ENSG00000041353","5874","RAB27B","RAB27B, member RAS oncogene family",-3.57189934353171,7.23509391609234,371.784039619446,9.88704952789568e-08,9.24823252739841e-05
"ENSG00000013297","5010","CLDN11","claudin 11",-4.50949151835728,7.70081063537922,369.97461053247,1.00688432524751e-07,9.24823252739841e-05
"ENSG00000163531","23114","NFASC","neurofascin",-4.46732553605455,5.31121554412804,362.510872128701,1.0874185508818e-07,9.5123232284279e-05
"ENSG00000248187","124900778","LINC03140","long intergenic non-protein coding RNA 3140",-6.13796563005177,1.30048111874107,197.206408294584,1.31531243388394e-07,0.000105696510817939
