"","Space_Flight_1","Space_Flight_2","Space_Flight_3","Ground_Control_1","Ground_Control_2","Ground_Control_3"
"TSPAN6",2.66156925719419,2.31322161764679,2.44436921926853,2.19666941069038,2.39012638475362,1.9798578438429
"DPM1",5.98568238166177,6.19636443159501,5.3820070375684,6.36686990397179,6.08058250826402,5.99153296689787
"SCYL3",1.83406873040537,1.7793358835338,1.75519236180106,2.927323911158,2.231913271348,2.01926802106436
"FIRRM",-0.649348851481193,1.48309512446907,-0.0386484120962599,-1.38055650782165,-1.20576245139362,-1.00984622462913
"CFH",4.65629556493177,4.90609883800708,5.16242760713886,6.61979947182685,5.69452826001094,5.02171079093066
"FUCA2",0.168690051496818,0.031324267052175,-0.974420923511387,0.900587677611871,0.431209449441637,0.315349825423106
"GCLC",4.55491923478055,3.94101375823871,3.75692509154215,3.93748425253632,3.90127808026101,3.77448798082095
"NFYA",4.28522633654602,3.7360905041016,3.94463965263632,4.80594207556462,4.8817145079644,4.92500373355558
"STPG1",2.62705117544413,2.69330066317939,2.52247149475317,2.82105887752833,2.55492520349229,2.37405334502876
"NIPAL3",5.80223359157097,5.8436466111026,5.65075874267466,6.30417728569514,6.04471972294239,4.84325586482096
"LAS1L",2.19914011151235,2.40426145126508,4.19169056181326,3.86317821531128,2.60405200261917,2.9163938482716
"ENPP4",2.04732678715447,1.91133327862819,1.36422994288644,3.84081259164706,2.62700354910271,1.78200176822993
"SEMA3F",5.05164159573149,4.95682985695671,5.35910416485285,4.26724250929993,4.37200329534011,4.43505015599184
"ANKIB1",4.84141335872066,5.19557200466671,4.43332296765944,3.84219526648066,2.97566546695748,2.59809570991947
"CYP51A1",7.60358274258663,7.52129578208346,6.993660004606,6.85092204000697,6.0119341280255,5.54663626833557
"KRIT1",3.38401553631682,2.52644244919421,2.48197442214498,3.73433614500137,2.9857568766506,1.61374514017399
"RAD52",3.33433925122202,3.17034773305886,3.4724982750978,2.58941237385246,1.81711756794019,1.62090282526385
"BAD",5.57812387344776,5.6186299413818,5.88715160970828,5.94205388406845,6.3616224493732,6.50861435490237
"LAP3",5.31194725591916,4.70148097377811,4.94585598324976,5.4362107965305,4.94147173094495,4.48806210731476
"CD99",8.53611463783125,8.96356070371534,9.0821403879333,9.38644994553468,9.38963800704644,9.47856125586453
"HS3ST1",-1.53248805167332,0.0104928876828529,-0.467672663444238,-0.0960882425733546,-0.279688388493503,0.0687376778202552
"WNT16",0.162594639738956,0.316775862563711,-0.203525931284258,-2.96168428486748,-2.48964587684771,-3.61823768970983
"HECW1",-0.874381875350875,-2.50130321261656,-1.93375947037516,0.232310570465838,-2.00836884135212,0.642659917714968
"MAD1L1",3.40940801596748,2.69395612339031,3.203332087609,3.89092959282064,3.89472818863163,3.5979384938577
"LASP1",7.58110237870002,7.61417966987929,7.64243832284114,7.74671510521399,7.70014696673826,7.48702675095895
"SNX11",3.48281084982186,3.2508940830235,3.56940236044533,3.37532940065206,3.11254484494127,2.75896957258871
"M6PR",0.758809455362418,0.866737652635182,0.452123211077994,-0.702575104018236,0.91684853614665,-0.0582640400610597
"KLHL13",0.954124797694078,-1.65278826266718,-4.09875182374296,0.740938311405794,0.128895687009567,-0.596372320459126
"CYP26B1",1.10449760273583,1.25206309719518,1.71419939874883,3.73034256363253,4.66445530768174,4.52733877950633
"DBNDD1",2.9337766927133,2.55037222676647,3.17009981423151,1.93510565525139,1.75446510977961,1.51628252485098
"ALS2",3.05283855658009,3.49927045100544,2.11495436146668,2.86299450239425,3.42999830219077,2.72592556218794
"CASP10",2.2482773210249,1.69649443388963,1.56826222657921,3.18990255507827,2.47654960971014,2.33808810562859
"CFLAR",7.33050860726614,7.26183881663315,7.72202878215639,8.01208040581402,7.84368271738615,7.77588259595351
"TFPI",9.21557318330555,9.34839333417653,9.35414821640007,8.40302443280392,7.72528709727913,7.38133261747257
"NDUFAF7",3.65313496418659,3.72640016979818,3.6897845408565,4.42878716727621,3.75948434643252,4.38463448423062
"RBM5",5.3327863600937,5.38892445119225,5.83880806352412,4.43540532980907,4.80923391860678,4.69332211923015
"SLC7A2",7.33872380936544,6.57452262657,6.5842535399307,5.5522357450985,4.88803855408825,4.8194069692827
"ARF5",6.78908706979435,6.91678555225053,6.93974653167243,6.52340113683181,6.66434920051703,6.80339613188166
"SARM1",2.3885073081716,1.72647324357621,2.97142745491953,4.24964195229375,4.67759304295388,4.75499610650776
"POLDIP2",4.53578229371583,3.13769232897886,4.22512271316497,4.35207578183729,4.50088763616804,2.38695812012541
"PLXND1",6.70513496703598,6.61061972616973,7.28088721701406,6.67363464051291,6.92841402948382,7.02796400854169
"AK2",7.35939919528063,7.42764211266552,7.41047588794594,7.73333533221208,7.61153221977932,7.69093375748824
"FKBP4",4.28741984074954,4.67126642211929,4.7682321830347,1.4909874036749,1.56343642382235,1.5885212755896
"KDM1A",4.85295627580762,4.40213671171209,4.81285844230329,3.01911627569255,1.84757953823441,-2.45677408419296
"RBM6",7.70808024111326,7.93268472506292,7.73213347585351,7.00581364467332,7.10628455068652,7.34177832334993
"CAMKK1",4.73729354206015,5.19060469420787,5.2562004479041,4.82389549926971,4.6620205176718,4.85229494613299
"RECQL",5.61921519456557,5.09967135328259,5.18627805570046,4.83583258997348,3.55165444815384,2.6873861758656
"VPS50",-0.412085890106567,0.19268708314867,-0.0849070148036733,-0.0231453414993086,0.671907767457227,0.946753583125696
"HSPB6",4.28360515780328,3.742677530113,4.77857766391238,6.91182131474407,6.27995525776713,5.9635731568069
"ARHGAP33",3.09350143449697,3.25493130964001,3.03724272730916,1.32267323904989,1.27203829433504,1.56201719113588
"NDUFAB1",5.70214426913063,6.03012706713469,5.75054468679031,6.20944560323855,6.22869894426103,6.36592833077206
"ZMYND10",2.58195195838951,2.30892436308202,1.80350490240176,-0.334575937201619,-1.1893297318526,-1.82986259608707
"ABCB5",-1.41526427043512,-0.926552537024454,-1.244364183239,-1.43189313090109,-1.16069015473204,-1.36267996510802
"SLC25A13",1.63571746246659,1.24670967928231,-0.0514664716918802,1.89392470502949,-1.32657657571169,1.5076981646697
"ST7",3.4461008767735,3.36805841488865,3.81096689665821,4.49940419886128,4.81886745425508,4.79302996019097
"CDC27",5.77669346333638,5.8898137798502,5.87406776262792,6.02199450495365,6.00788334056187,5.48096563081113
"SLC4A1",0.199729455878018,0.984656100508877,0.168441339918032,0.637962191826119,0.290418895019804,1.08014057471289
"HCCS",5.26600419564758,5.25793041390123,4.90015526744893,6.21062949881773,5.84987466797347,5.83588040899983
"DVL2",4.89554721395931,4.80847494506516,5.11841041082427,3.91876878545092,3.74772999534919,3.54821958592187
"UPF1",6.5872767479998,6.5126080115571,6.56281107732981,6.72601446574178,6.89214379661684,7.13956458282637
"SKAP2",2.99764048580199,1.87684262229752,2.333701022978,3.03609570493047,1.65656192314452,2.45897157966428
"SLC25A5",5.92273544405015,6.14898952302831,5.63386248952276,6.10367111527004,5.87664852968878,5.51479868164049
"MCUB",5.00450330750707,5.3592091502086,5.31767221366372,3.52655414915104,2.95256546862885,1.27544678497176
"HOXA11",-1.37470129400736,-1.49688687204261,-1.13055291438535,-0.575563378798589,-1.00196532800071,-0.0556432763390665
"POLR2J",4.0712217507337,4.13092631548446,4.43666545803993,5.18341966298766,5.60518632102766,5.74047602933466
"DHX33",5.37488558114176,5.02943819280034,5.04224177986326,5.41569808057079,5.3415722165666,5.44702930282886
"LIG3",2.43311322671561,1.81820618592216,1.80225154771425,1.464055364666,0.772322814996377,0.701449578664964
"RPAP3",4.4195764599788,4.06204685850396,4.17681314352714,4.18097950605721,4.07319489284952,3.87902394774376
"REXO5",-0.639826976584114,0.368865807265946,0.679131667992665,-1.66804901482537,-0.849997791134227,-1.24360079741327
"CIAPIN1",4.6892077762717,4.74118180012497,4.38629819168951,4.92470073342571,4.94660452327135,5.17432687369867
