"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","101/1913","360/12494",0.280555555555556,1.83233722483592,6.81359116375707,2.63983771088597e-10,1.34552528123858e-06,1.34552528123858e-06,"55835/64105/2801/254528/55125/55559/79441/22974/6795/225689/55355/4751/55274/2177/26151/81610/84142/54930/23122/57820/3192/55142/23353/3303/7153/983/9319/55732/64946/283847/64793/3304/11004/27175/8881/54617/29893/55839/7756/157313/23354/79682/9212/79019/9735/1654/24137/27183/55143/10734/81620/5347/79980/348995/83540/23137/9055/10388/991/54892/1459/23310/147841/11065/1058/10051/54820/10426/23421/9639/8899/3796/57082/8239/56852/81565/126731/4085/80254/4439/6603/286053/23397/1060/11044/114791/55844/9700/51203/440145/10403/10735/5501/3833/152185/29899/163786/9787/4288/27436/332",101
"GO:0000280","nuclear division","93/1913","329/12494",0.282674772036474,1.84617804590889,6.6134967356582,8.91406224518688e-10,1.98540074324026e-06,1.98540074324026e-06,"79173/10635/116138/4361/64105/2801/254528/55125/9585/22974/6795/225689/4751/2177/26151/9088/150365/22887/84142/23122/1111/5888/57820/3192/23353/3303/7153/983/79703/9319/283847/64793/3304/11004/27175/8881/54617/6790/29893/3306/7756/157313/9212/9735/24137/27183/146956/55143/10734/81620/5347/10040/83540/9055/10388/991/54892/23310/147841/11065/1058/10051/54820/9639/8899/3796/57082/11077/81565/126731/4085/4439/286053/23397/1060/11044/5000/55844/9700/51203/440145/10403/54443/10735/5501/3833/152185/9787/4288/27436/8438/332/57697",93
"GO:0048285","organelle fission","101/1913","369/12494",0.273712737127371,1.78764607301065,6.53026671263301,1.16857018436743e-09,1.98540074324026e-06,1.98540074324026e-06,"79173/10635/116138/4361/64105/2801/254528/55125/9585/22974/6795/225689/4751/2177/26151/9088/150365/22887/84142/23122/1111/5888/4137/57820/3192/23353/3303/7153/983/79703/9319/283847/64793/3304/11004/27175/8881/54617/6790/29893/3306/7756/157313/9212/9735/24137/27183/54708/146956/55143/10734/81620/5347/23023/10040/56947/113115/83540/80179/9055/10388/991/54892/23310/147841/11065/1058/10051/54820/9639/8899/3796/57082/11077/81565/126731/65084/4085/4439/286053/23397/1060/11044/5000/55844/9700/51203/440145/10403/54443/64423/10735/5501/3833/152185/9787/4288/27436/8438/332/57697",101
"GO:0033490","cholesterol biosynthetic process via lathosterol","14/1913","19/12494",0.736842105263158,4.81239166918865,7.07101132793493,2.02313765141756e-08,2.57798315231883e-05,2.57798315231883e-05,"51478/6307/4597/1717/10682/3157/6309/3422/4598/6713/2224/3156/2222/1718",14
"GO:0033489","cholesterol biosynthetic process via desmosterol","14/1913","20/12494",0.7,4.57177208572922,6.79709538667538,5.78935962288138e-08,5.90167319956528e-05,5.90167319956528e-05,"51478/6307/4597/1717/10682/3157/6309/3422/4598/6713/2224/3156/2222/1718",14
"GO:0000070","mitotic sister chromatid segregation","55/1913","179/12494",0.307262569832402,2.006763485356,5.76851811508944,1.278526386636e-07,0.000103471502875988,0.000103471502875988,"64105/2801/55125/22974/6795/26151/84142/23122/3192/3303/983/9319/3304/11004/27175/8881/54617/7756/9212/9735/24137/27183/55143/81620/5347/83540/9055/991/54892/23310/147841/11065/1058/10051/9639/8899/3796/57082/126731/4085/286053/23397/1060/11044/9700/51203/440145/10403/10735/5501/3833/152185/9787/27436/332",55
"GO:0007051","spindle organization","54/1913","175/12494",0.308571428571429,2.01531177656635,5.75119665645513,1.42103300006262e-07,0.000103471502875988,0.000103471502875988,"3925/55835/2801/55125/55559/79441/22974/6795/83541/225689/55857/4751/26151/11076/84142/54930/23122/3192/55142/3303/64946/3304/27175/54617/6790/7756/23354/9212/24137/55143/5347/126520/83540/9055/9793/25777/10426/9639/3796/126731/2009/80254/55722/114791/440145/10403/10735/3833/152185/29899/259266/163786/9787/332",54
"GO:0006261","DNA-templated DNA replication","48/1913","150/12494",0.32,2.08995295347622,5.71022108522364,2.06684829555334e-07,0.000119135329711551,0.000119135329711551,"4171/4361/1663/177/374393/5984/5888/5427/9837/63901/57523/4174/3978/91607/3980/5983/54617/29980/11073/51053/6240/146956/81620/5985/23594/6117/51514/641/4175/7083/10926/8318/10293/8450/84296/4172/84515/4176/144455/5422/5000/6596/10535/580/79915/54107/201973/57697",48
"GO:0140014","mitotic nuclear division","68/1913","242/12494",0.28099173553719,1.83518596121362,5.57846705151323,2.10362559820279e-07,0.000119135329711551,0.000119135329711551,"64105/2801/55125/9585/22974/6795/4751/26151/9088/84142/23122/1111/3192/3303/983/9319/64793/3304/11004/27175/8881/54617/6790/7756/157313/9212/9735/24137/27183/55143/81620/5347/10040/83540/9055/991/54892/23310/147841/11065/1058/10051/54820/9639/8899/3796/57082/81565/126731/4085/286053/23397/1060/11044/55844/9700/51203/440145/10403/54443/10735/5501/3833/152185/9787/4288/27436/332",68
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","46/1913","143/12494",0.321678321678322,2.10091424519025,5.62986455981743,3.10666148140254e-07,0.000150948874349426,0.000150948874349426,"3925/55835/89958/2801/55125/22974/6795/83541/26151/84142/23122/3192/3303/983/64946/3304/27175/6790/7756/9212/24137/55143/5347/126520/83540/9055/9793/25777/1058/54820/9639/3796/81565/126731/2009/9700/51203/440145/10403/10735/3833/152185/29899/163786/9787/332",46
