"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000793","condensed chromosome","74/2042","244/13159",0.30327868852459,1.95438014803873,6.44908516312034,3.17684289043047e-09,2.23967423775348e-06,2.23967423775348e-06,"10734/55274/10388/83540/157313/4751/7153/286053/5347/989/23122/64946/81620/11073/1111/221711/64105/3146/3192/4085/10403/29893/6790/9793/25777/55732/7756/4288/55183/23157/9212/641/1058/54780/3148/5888/6117/6795/10128/79019/9735/55355/27085/79682/23421/81565/2177/10051/8899/6603/23310/3306/54892/8940/55746/23137/332/1017/57082/79980/54820/1060/126520/51111/57820/55839/348995/11004/5501/991/25909/23397/84787/147841",74
"GO:0098687","chromosomal region","92/2042","366/13159",0.251366120218579,1.61984660918525,5.15427492317649,9.15937384630697e-07,0.000322867928082321,0.000322867928082321,"7515/4361/10734/55274/10388/83540/54069/4751/983/7153/9878/23353/286053/5347/4176/989/23122/64946/81620/1111/4175/328/221711/64105/3192/4085/10403/4172/10635/6790/9793/25777/55732/157570/7756/55183/10735/23157/9212/641/1058/54780/55693/4174/23028/23244/5888/55320/6117/6795/79019/9735/55355/27085/79682/23421/81565/283847/10051/65986/8899/6603/5000/23310/5500/2145/55746/4171/23137/332/6615/23081/1017/57082/79980/54820/1060/126520/51111/55143/55839/9401/348995/11004/4436/5501/991/84321/25909/113130/84787/147841",92
"GO:0000775","chromosome, centromeric region","62/2042","229/13159",0.270742358078603,1.7447104260315,4.87231008344692,4.43140129807087e-06,0.00104137930504665,0.00104137930504665,"10734/55274/10388/83540/54069/4751/7153/5347/989/23122/64946/81620/221711/64105/3192/4085/10403/6790/9793/55732/157570/7756/10735/23157/9212/1058/55693/23244/55320/6795/79019/9735/55355/27085/79682/23421/81565/10051/8899/6603/23310/55746/23137/332/6615/23081/57082/79980/54820/1060/126520/51111/55143/55839/348995/11004/5501/991/25909/113130/84787/147841",62
"GO:0031261","DNA replication preinitiation complex","9/2042","12/13159",0.75,4.83312928501469,5.6932435940696,7.22051680241014e-06,0.00127261608642479,0.00127261608642479,"4176/4175/4172/9837/8318/4174/84296/4171/51659",9
"GO:0071162","CMG complex","8/2042","10/13159",0.8,5.15533790401567,5.63363868480754,1.11303493034183e-05,0.00141215335158814,0.00141215335158814,"4176/4175/4172/9837/4174/84296/4171/51659",8
"GO:0000779","condensed chromosome, centromeric region","48/2042","169/13159",0.284023668639053,1.83029748071562,4.6558770593104,1.32243546966119e-05,0.00141215335158814,0.00141215335158814,"55274/10388/83540/4751/5347/989/23122/64946/81620/221711/64105/3192/4085/10403/6790/9793/55732/7756/23157/9212/1058/6795/79019/9735/55355/27085/79682/23421/81565/8899/6603/23310/55746/332/57082/79980/54820/1060/126520/51111/55839/348995/11004/5501/991/25909/84787/147841",48
"GO:0005819","spindle","91/2042","384/13159",0.236979166666667,1.52713460047339,4.4929924475169,1.40213807959106e-05,0.00141215335158814,0.00141215335158814,"9055/84056/9585/7840/55142/5607/81610/4751/983/79969/5347/79801/989/79441/54930/23122/259266/9787/11073/26586/55559/400954/440145/3192/54888/1663/152185/4085/22974/6790/225689/9793/27183/11186/55732/7756/126731/2035/64793/55183/55689/10735/23157/4957/9212/822/7178/9700/51203/79768/4627/27436/653784/6795/9735/4869/145508/27175/81565/114791/2009/9859/80817/4739/3796/10426/55614/83541/2801/90799/150275/3833/3306/150468/9731/23354/332/79980/54820/80254/126520/84541/8881/54617/24137/55143/11004/991/252969/11076/29899",91
"GO:0042611","MHC protein complex","10/2042","16/13159",0.625,4.02760773751224,5.19327536453369,2.57446183147624e-05,0.00226874448898843,0.00226874448898843,"3136/3134/3133/3115/3123/3107/3108/567/3105/3106",10
"GO:0000922","spindle pole","46/2042","167/13159",0.275449101796407,1.77504149389761,4.31990494709695,4.60244126997939e-05,0.00360524566148385,0.00360524566148386,"9055/84056/9585/7840/81610/4751/5347/259266/9787/11073/26586/3192/1663/4085/22974/6790/9793/27183/11186/64793/10735/4957/9212/7178/79768/6795/9735/4869/145508/114791/2009/80817/4739/3796/10426/83541/2801/90799/150468/9731/79980/54820/80254/126520/991/29899",46
"GO:0022626","cytosolic ribosome","33/2042","110/13159",0.3,1.93325171400588,4.21245748119753,8.96298363042942e-05,0.00631890345945274,0.00631890345945274,"6130/6227/10985/6125/6202/6175/9045/6217/6201/6207/6137/6157/6164/6194/1654/6232/6124/6203/6122/6156/23521/6158/4736/6210/6228/6136/3921/116832/6173/6160/6134/6230/6189",33
"GO:0072686","mitotic spindle","41/2042","149/13159",0.275167785234899,1.7732286414819,4.06809817851345,0.000119183506192147,0.00744134785213191,0.00744134785213191,"9055/84056/9585/55142/81610/983/79969/5347/79801/79441/54930/23122/259266/9787/26586/55559/3192/4085/22974/6790/126731/2035/55689/10735/9212/822/9700/51203/79768/27436/2009/4739/2801/150275/3833/150468/23354/8881/252969/11076/29899",41
