"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0044786","cell cycle DNA replication",36,0.735131936781168,2.43250552410587,3.45330867936877e-08,9.76014799965835e-06,9.76014799965835e-06,1492,"tags=47%, list=10%, signal=43%","7083/81620/8317/9837/79915/4175/29980/10926/5888/3978/144455/5422/8318/4171/54617/641/51053",0.719512826338911
"GO:0016339","calcium-dependent cell-cell adhesion",30,-0.793011494522223,-2.41614606735271,3.48695318123214e-08,9.76014799965835e-06,9.76014799965835e-06,1610,"tags=60%, list=11%, signal=54%","56125/222256/1009/5098/56127/1003/8641/56123/1002/1008/22871/56122/26167/56133/56126/51294/57717/6402",0.719512826338911
"GO:0007156","homophilic cell-cell adhesion",123,-0.601784459847519,-2.3752450430761,1e-10,8.39714285714286e-08,8.39714285714286e-08,1919,"tags=47%, list=13%, signal=42%","1000/199731/56106/26025/56107/56125/23654/5818/222256/56145/1009/56109/56100/83872/5098/56101/56127/27253/79633/91624/5754/64084/10631/56108/56104/1003/2195/56110/8641/9620/56123/1002/56111/56102/5101/56112/1008/56103/54510/56114/56141/56113/56121/65217/5099/56122/55714/26167/56133/57526/56126/56142/120114/51294/57717/57863/56129/23705",NA
"GO:0045132","meiotic chromosome segregation",44,0.688223054009574,2.36934847361276,9.60301214090564e-08,2.21850645854193e-05,2.21850645854193e-05,1881,"tags=43%, list=12%, signal=38%","4439/254528/23397/10734/83540/57820/10403/57082/225689/10388/2177/9319/283847/220134/2801/9700/1060/29893/23353",0.704975715167238
"GO:1902850","microtubule cytoskeleton organization involved in mitosis",143,0.555309878605353,2.36175178923677,1e-10,8.39714285714286e-08,8.39714285714286e-08,1957,"tags=34%, list=13%, signal=30%","22974/9787/983/9212/24137/3304/3303/6790/89958/9055/3833/1058/83540/55835/64946/10403/6795/5347/29127/3796/55143/10735/83541/51203/440145/9793/152185/56992/126731/332/84142/54820/25777/9493/163786/126520/29072/27175/891/9639/2801/9700/55125/3925/29899/81565/3192/23122",NA
"GO:0033260","nuclear DNA replication",33,0.730773170283313,2.35039271306754,1.47608093906434e-07,2.99186336545525e-05,2.99186336545525e-05,1492,"tags=48%, list=10%, signal=44%","7083/81620/8317/9837/79915/4175/29980/10926/5888/3978/5422/8318/4171/54617/641/51053",0.690132458796796
"GO:0061982","meiosis I cell cycle process",82,0.59748978210276,2.34484568913275,8.16210287652641e-09,3.19845604721481e-06,3.19845604721481e-06,2220,"tags=39%, list=15%, signal=33%","4439/254528/991/146956/7153/10734/57820/9088/10403/79173/57082/5888/225689/10388/2177/79703/9319/283847/150365/25788/8438/11077/10635/7589/1060/116138/2956/29893/23353/57697/22887/4361",0.747739663149885
"GO:0072028","nephron morphogenesis",41,-0.709634699079868,-2.3399347007348,3.95455873915471e-07,5.81122406718785e-05,5.81122406718785e-05,2218,"tags=61%, list=15%, signal=52%","6662/6772/79192/5311/26585/3976/6608/7490/2247/3217/153572/2625/6299/2297/9955/2668/650/79191/6943/55083/6469/130497/2246/9241/7849",0.674962860011025
"GO:0072088","nephron epithelium morphogenesis",41,-0.709634699079868,-2.3399347007348,3.95455873915471e-07,5.81122406718785e-05,5.81122406718785e-05,2218,"tags=61%, list=15%, signal=52%","6662/6772/79192/5311/26585/3976/6608/7490/2247/3217/153572/2625/6299/2297/9955/2668/650/79191/6943/55083/6469/130497/2246/9241/7849",0.674962860011025
"GO:0072078","nephron tubule morphogenesis",39,-0.714981423348421,-2.30733376813071,8.42520905719126e-07,0.000103173705912855,0.000103173705912855,1726,"tags=56%, list=11%, signal=50%","79192/5311/26585/6608/7490/2247/3217/153572/2625/6299/2297/9955/2668/650/79191/6943/55083/6469/130497/2246/9241/7849",0.659444398037935
"GO:0098813","nuclear chromosome segregation",260,0.495577576171898,2.30003764401608,1e-10,8.39714285714286e-08,8.39714285714286e-08,2024,"tags=27%, list=13%, signal=24%","4439/11065/254528/22974/9787/991/983/9212/24137/3304/3303/81620/9055/3833/23397/4751/7153/4085/1058/11044/10734/83540/57820/79980/10403/57082/6795/225689/5347/29127/10388/2177/3796/55143/147841/9319/9735/81610/6599/10735/283847/146909/11004/220134/51203/1063/440145/152185/56992/126731/332/54617/84142/27183/9493/54892/27175/891/9639/2801/9700/55125/1060/5501/29893/23353/3192/23122/55274/81930",NA
"GO:0007059","chromosome segregation",360,0.48384547023247,2.28552870603973,1e-10,8.39714285714286e-08,8.39714285714286e-08,2024,"tags=26%, list=13%, signal=23%","4439/11065/254528/22974/9787/991/79019/983/9212/24137/79682/3304/3303/81620/9055/3833/4288/23397/4751/7153/4085/1058/11044/10734/83540/55835/57820/79980/54930/64946/10403/57082/6795/225689/23137/5347/29127/10388/2177/3796/55143/147841/9319/55355/9735/81610/6599/10735/283847/146909/11004/220134/51203/23354/1063/440145/157313/55559/80254/1459/8239/55732/152185/56992/126731/332/54617/84142/54820/27183/1654/9493/163786/54892/64793/27175/891/9639/2801/9700/55125/55839/114791/1060/5501/29899/29893/23353/81565/3192/23122/55274/56852/81930",NA
"GO:0019233","sensory perception of pain",44,-0.698340821027872,-2.27206182021188,2.28876184927642e-07,4.18263802273932e-05,4.18263802273932e-05,1389,"tags=43%, list=9%, signal=39%","3673/4311/8989/6387/9536/5179/6348/55/10893/6347/85446/134145/3751/2047/55273/134/3356/4856/6863",0.690132458796796
"GO:0000280","nuclear division",329,0.479016008049773,2.26768739300062,1e-10,8.39714285714286e-08,8.39714285714286e-08,2220,"tags=30%, list=15%, signal=26%","4439/11065/254528/22974/9787/991/983/9212/24137/3304/3303/81620/6790/9055/54443/3833/4288/23397/4751/146956/7153/4085/1058/11044/10734/83540/10040/57820/9088/10403/79173/57082/6795/5888/225689/5347/29127/9633/10388/2177/3796/79703/55143/147841/9319/9735/10735/283847/146909/11004/11022/3306/220134/51203/1063/440145/157313/150365/25788/1111/152185/56992/126731/332/54617/8438/84142/54820/27183/9585/9493/54892/64793/27175/891/9639/2801/11077/9700/10635/55125/7589/1060/5501/116138/8556/29893/23353/81565/3192/23122/57697/81930/5000/22887/8881/26151/4361",NA
"GO:0007127","meiosis I",73,0.594443010505259,2.25155095304395,1.088415264711e-07,2.36952034295231e-05,2.36952034295231e-05,2220,"tags=38%, list=15%, signal=33%","4439/254528/146956/7153/10734/57820/10403/79173/57082/5888/10388/2177/79703/9319/283847/150365/25788/8438/11077/10635/7589/1060/116138/29893/23353/57697/22887/4361",0.704975715167238
"GO:0007129","homologous chromosome pairing at meiosis",20,0.790387590858181,2.24044492393736,1.63888292469324e-06,0.00016603349233801,0.00016603349233801,633,"tags=40%, list=4%, signal=38%","4439/254528/10734/57820/10388/2177/9319/283847",0.643551836150722
"GO:0008608","attachment of spindle microtubules to kinetochore",49,0.636659005802022,2.23473635668192,1.36138236678011e-06,0.000150985010413839,0.000150985010413839,1938,"tags=41%, list=13%, signal=36%","983/9212/81620/4751/83540/79980/10403/57082/6795/29127/55143/147841/9735/11004/220134/332/84142/891/1060/3192",0.643551836150722
"GO:0000070","mitotic sister chromatid segregation",179,0.511910984391944,2.23283860337447,1.16494491453598e-10,8.55943275955311e-08,8.55943275955311e-08,1697,"tags=28%, list=11%, signal=26%","11065/22974/9787/991/983/9212/24137/3304/3303/81620/9055/3833/23397/4085/1058/11044/83540/10403/57082/6795/5347/29127/3796/55143/147841/9319/9735/10735/146909/11004/220134/51203/1063/440145/152185/56992/126731/332/54617/84142/27183/9493/54892/27175/891/9639/2801/9700/55125/1060/5501",0.826657301178302
"GO:0007052","mitotic spindle organization",119,0.539672611626818,2.23273383171999,7.68128982229279e-09,3.19845604721481e-06,3.19845604721481e-06,1957,"tags=34%, list=13%, signal=29%","22974/9787/9212/24137/3304/3303/6790/9055/3833/83540/55835/64946/10403/6795/5347/29127/3796/55143/10735/83541/440145/9793/152185/56992/126731/332/84142/25777/9493/163786/126520/27175/891/9639/2801/55125/3925/29899/3192/23122",0.747739663149885
"GO:0072171","mesonephric tubule morphogenesis",33,-0.72530896822395,-2.2207995979673,1.21301049139459e-06,0.000137116839777257,0.000137116839777257,1679,"tags=58%, list=11%, signal=51%","5311/26585/6608/7490/2247/3217/2625/6299/2297/9955/2668/650/6943/55083/6469/130497/2246/9241/7849",0.643551836150722
"GO:0033490","cholesterol biosynthetic process via lathosterol",19,0.776379507681627,2.21977031289974,1.68188879737754e-05,0.000915383551017149,0.000915383551017149,1930,"tags=74%, list=13%, signal=64%","3422/3157/6713/6307/4597/4598/2222/1717/3156/10682/6309/1718/51478/2224",0.575610261071129
"GO:0070192","chromosome organization involved in meiotic cell cycle",26,0.730650183201953,2.21971805456015,2.27288641050461e-06,0.000215437344028393,0.000215437344028393,633,"tags=35%, list=4%, signal=33%","4439/254528/10734/57820/5888/10388/2177/9319/283847",0.627256739718528
"GO:0035825","homologous recombination",54,0.621112441850886,2.21886302498228,6.12556671390984e-07,8.18320026008229e-05,8.18320026008229e-05,2220,"tags=41%, list=15%, signal=35%","4439/254528/146956/7153/57820/79173/5888/10388/2177/79703/9319/11073/25788/55732/8438/580/11077/10635/116138/29893/57697/4361",0.659444398037935
"GO:0045143","homologous chromosome segregation",28,0.716972993676534,2.21484828856729,3.22190481403159e-06,0.000277106627415601,0.000277106627415601,1881,"tags=43%, list=12%, signal=38%","4439/254528/10734/57820/57082/10388/2177/9319/283847/1060/29893/23353",0.627256739718528
"GO:1905818","regulation of chromosome separation",70,0.588053604090307,2.20700876004429,5.64303048249276e-07,7.89755551811726e-05,7.89755551811726e-05,1566,"tags=31%, list=10%, signal=28%","11065/9787/991/9212/23397/4085/83540/10403/57082/225689/5347/55143/147841/9319/9735/220134/1063/1459/332/54892/891/9700",0.659444398037935
"GO:0051930","regulation of sensory perception of pain",11,-0.919139686979068,-2.20177795699641,8.35673406681146e-07,0.000103173705912855,0.000103173705912855,679,"tags=73%, list=4%, signal=70%","6348/55/85446/134145/55273/134/4856/6863",0.659444398037935
"GO:0051931","regulation of sensory perception",11,-0.919139686979068,-2.20177795699641,8.35673406681146e-07,0.000103173705912855,0.000103173705912855,679,"tags=73%, list=4%, signal=70%","6348/55/85446/134145/55273/134/4856/6863",0.659444398037935
"GO:0006261","DNA-templated DNA replication",150,0.519469056690284,2.20098420131254,8.52541305064363e-10,4.55567071924393e-07,4.55567071924393e-07,3009,"tags=40%, list=20%, signal=32%","51514/7083/81620/5427/91607/8317/57523/146956/8450/9837/79915/5983/4175/29980/10926/6117/1663/5888/374393/10293/3978/144455/4174/11073/5422/8318/84515/63901/4171/54617/641/54107/5985/23594/4176/177/580/51053/90381/5965/54465/5001/10535/5984/57697/142/4172/5000/4361/23595/6596/3980/84296/201973/6240/2237/7486/5423/5426/4173",0.801215574617779
"GO:0048285","organelle fission",369,0.460432007203871,2.19773463590062,1e-10,8.39714285714286e-08,8.39714285714286e-08,2220,"tags=28%, list=15%, signal=25%","4439/11065/254528/22974/9787/991/983/9212/24137/3304/3303/81620/6790/9055/54443/3833/4288/23397/4751/146956/7153/4085/1058/11044/10734/83540/4137/10040/57820/9088/10403/79173/57082/6795/5888/225689/5347/29127/9633/10388/2177/3796/79703/55143/147841/9319/9735/10735/283847/146909/11004/11022/3306/113115/220134/51203/1063/440145/157313/150365/80179/25788/1111/152185/64423/56992/126731/332/54617/8438/84142/54820/27183/9585/55737/9493/54892/64793/27175/891/9639/2801/11077/9700/10635/56947/55125/7589/1060/5501/116138/8556/29893/23353/81565/3192/23122/57697/81930/5000/23023/22887/8881/26151/4361",NA
"GO:0090307","mitotic spindle assembly",66,0.588853156855319,2.19391779763299,1.20725780414437e-06,0.000137116839777257,0.000137116839777257,1957,"tags=38%, list=13%, signal=33%","22974/9212/24137/3304/3303/9055/3833/6795/5347/29127/3796/55143/10735/440145/152185/56992/126731/332/84142/9493/9639/2801/55125/3192/23122",0.643551836150722
"GO:1905820","positive regulation of chromosome separation",28,0.709886737965616,2.19295767138631,5.33178060303289e-06,0.000381417395013533,0.000381417395013533,1566,"tags=43%, list=10%, signal=38%","11065/9787/991/9212/23397/225689/5347/55143/220134/332/54892/9700",0.610526878385931
"GO:0051304","chromosome separation",76,0.573773197293322,2.19179113696555,3.32547036000615e-07,5.17049363795892e-05,5.17049363795892e-05,1566,"tags=29%, list=10%, signal=26%","11065/9787/991/9212/23397/4085/83540/10403/57082/225689/5347/55143/147841/9319/9735/220134/1063/1459/332/54892/891/9700",0.674962860011025
"GO:0007051","spindle organization",175,0.500536900478059,2.19057888839633,3.16445720232789e-10,1.86006794352833e-07,1.86006794352833e-07,2019,"tags=31%, list=13%, signal=27%","22974/9787/9212/24137/3304/3303/6790/9055/3833/259266/4751/83540/55835/54930/64946/10403/6795/225689/55722/5347/29127/11076/3796/55143/10735/220134/83541/23354/440145/9793/55559/80254/152185/56992/126731/332/54617/84142/25777/9493/163786/126520/27175/891/9639/2801/55125/7430/114791/3925/29899/3192/23122/55857",0.814035837847908
